rank,window_id,a,b,on,off,duration
1,X009776,Satellite129,Satellite2510,0.0,4851.586,4851.586
2,X008117,Satellite126,Satellite2507,1432.198,6748.828,5316.63
3,X016854,Satellite145,Satellite2707,6876.517,12593.853,5717.335999999999
4,X020430,Satellite153,Satellite2805,8021.305,13453.658,5432.352999999999
5,X015858,Satellite143,Satellite2706,13864.685,19564.472,5699.787000000002
6,X017835,Satellite147,Satellite2701,17038.251,22733.216,5694.965
7,X015364,Satellite142,Satellite2706,21364.472,25902.162,4537.689999999999
8,X021995,Satellite156,Satellite2801,23203.909,28658.712,5454.803
9,X018838,Satellite149,Satellite2705,27187.57,32874.668,5687.097999999998
10,X016841,Satellite145,Satellite2701,29723.926,35410.457,5686.531000000003
11,X017844,Satellite147,Satellite2704,34161.892,39848.604,5686.7119999999995
12,X019399,Satellite151,Satellite2808,37755.508,43200.0,5444.491999999998
